bookID,specialist_rating,reader_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,age
62,1.5,2.27,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,6-8
63,-0.48,2.73,761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,6-8
64,2.06,2.91,972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,6-8
65,2.4,2.16,1581805632,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,6-8
66,2.79,3.46,441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,6-8
67,1.55,2.31,441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,6-8
68,0.56,1.78,441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,6-8
69,2.25,1.58,765306476,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,6-8
70,2.03,0.98,399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,6-8
71,0.85,1.64,765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,6-8
72,3.91,2.12,441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,6-8
73,0.82,2.12,618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,6-8
74,2.61,2.83,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,6-8
75,1.98,2.38,385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,6-8
76,2.28,1.51,785260056,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,6-8
77,1.69,2.66,471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,6-8
78,2.16,0.32,325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,6-8
79,2.65,2.96,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,6-8
80,1.61,3.51,470045299,9780470045299,eng,386,111,9,10/30/2006,Wiley,6-8
81,2.16,0.85,72262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,6-8
82,2.39,1.58,764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,6-8
83,1.11,1.12,471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley,6-8
84,1.91,2.56,764559915,9780764559914,en-US,391,22,1,5/31/2004,Wiley,6-8
85,1.03,2.36,764584383,9780764584381,en-US,864,17,3,4/25/2005,Wiley,6-8
86,2.36,2.46,596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,6-8
87,2.05,2.69,806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,6-8
88,2.24,3.05,806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,6-8
89,2.5,3.15,596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,6-8
90,3.47,1.25,143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,6-8
91,0.97,3.21,451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,6-8
92,2.99,3.37,140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,6-8
93,0.71,2.85,822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,6-8
94,2.23,2.24,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,6-8
95,2.58,1.68,486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,6-8
96,3,1.81,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,6-8
97,1.8,2.28,778322270,9780778322276,eng,360,411,65,1/28/2006,Mira Books,6-8
98,2.12,2.8,521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,6-8
99,3.12,2.47,140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,6-8
100,2.05,3,679767479,9780679767473,eng,367,2163,216,6/30/1998,Vintage,6-8
101,1.39,1.58,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,6-8
102,1.99,1.35,743270797,9780743270793,en-US,320,308,40,9/27/2005,Scribner,6-8
103,1.59,1.9,932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,6-8
104,1.17,2.25,742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,6-8
105,2.95,1.23,205358624,9780205358625,eng,216,10,0,9/22/2003,Pearson,6-8
106,2.65,0.93,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,6-8
107,2.19,1.95,380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,6-8
108,2.32,2.27,821925326,9780821925324,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,6-8
109,4.13,1.65,043927169X,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources,6-8
110,2.97,3.9,606105263,9780606105262,spa,205,6,1,6/1/1984,Turtleback Books,6-8
111,1.57,,751506435,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,6-8
112,1.05,1.25,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,6-8
113,2.37,0.44,743499344,9780743499347,en-US,320,352,44,11/1/2005,Atria Books,6-8
114,2.88,2.21,765313405,9780765313409,eng,331,9852,633,3/7/2006,Tor Books,6-8
115,2.43,1.35,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,6-8
116,1.99,1.47,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,6-8
117,3.05,2.4,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,6-8
118,2.46,1.79,679732527,9780679732525,eng,144,98,11,10/3/1990,Vintage,6-8
119,1.84,2,312424442,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA,6-8
120,2.51,1.88,806930772,9780806930770,eng,48,66,19,10/1/2001,Sterling,6-8
121,1.07,1.11,140366601,9780140366600,eng,287,81,6,10/3/1996,Puffin,6-8
122,1,1.49,811201120,9780811201124,eng,217,981,52,2/1/1964,New Directions Publishing,6-8
123,2.2,1.7,080213016X,9780802130167,eng,154,3381,141,1/13/1994,Grove Press,6-8
124,1.43,1.99,802131786,9780802131782,eng,318,53206,2376,1/6/1994,Grove Press,6-8
125,1.97,1.57,802151825,9780802151827,eng,348,14872,459,1/13/1994,Grove Press,6-8
126,0.99,1.57,802151787,9780802151780,eng,316,3261,58,1/13/1994,Grove Press,6-8
127,2.75,2.22,802151809,9780802151803,eng,506,7805,251,1/12/1994,Grove Press,6-8
128,2.29,2.71,811201066,9780811201063,eng,292,2699,142,1/17/1970,New Directions,6-8
129,2.14,2.53,141439637,9780141439631,eng,797,61640,1951,9/30/2003,Penguin Classics,6-8
130,2.87,1.74,1593080964,9781593080969,eng,635,392,41,1/16/2004,Barnes  Noble Classics,6-8
131,1.86,2.64,1571290532,9781571290533,eng,91,778,44,5/6/1999,Brookline Books,6-8
132,2.28,1.88,1565842219,9781565842212,eng,192,963,65,8/1/1994,The New Press,6-8
133,3.38,2.36,394743040,9780394743042,en-US,181,2057,128,3/12/1986,Pantheon,6-8
134,2.25,3.06,1851681825,9781851681822,eng,178,203,8,7/1/1999,One World (UK),6-8
135,2.53,1.68,156656249X,9781566562492,eng,464,35,2,4/1/1998,Interlink Publishing Group,6-8
136,1.92,2.42,014019553X,9780140195538,eng,102,328,16,1/1/1998,Penguin Books,6-8
137,1.58,1.01,394431243,9780394431246,eng,216,1308,82,2/21/1995,Knopf,6-8
138,2.24,2.59,806501901,9780806501901,eng,132,6432,517,3/3/2003,Citadel,6-8
139,0.97,1.26,067943920X,9780679439202,eng,100,3015,217,6/14/2011,Knopf,6-8
140,1.83,2.14,753453800,9780753453803,eng,311,318753,6734,9/15/2001,Kingfisher,6-8
141,1.56,2.87,1402714572,9781402714573,en-US,213,420,42,10/1/2004,Sterling Children's Books,6-8
142,1.72,1.93,1416500294,9781416500292,eng,245,5967,276,6/1/2005,Simon & Schuster,6-8
143,2.07,3.1,689854684,9780689854682,eng,64,104,14,7/1/2003,Atheneum Books for Young Readers,6-8
144,2.95,1.54,517221144,9780517221143,en-US,272,56,4,9/3/2002,Gramercy Books,6-8
145,3.05,3.13,1577658051,9781577658054,eng,232,91,16,1/31/2006,Abdo Publishing Company,6-8
146,3.76,0.46,933121180,9780933121188,eng,270,88,4,11/22/1996,Black Classic Press,6-8
147,2,1.62,785950109,9780785950103,spa,448,63,7,1/1/1990,French & European,6-8
148,1.4,0.86,394800842,9780394800844,eng,64,2815,164,9/12/1955,Random House Books for Young Readers,6-8
149,0.38,1.38,821778250,9780821778258,eng,256,95,13,6/7/2005,Zebra,6-8
150,0.92,1.87,60733039,9780060733032,eng,147,217,24,2/15/2005,Greenwillow Books,6-8
151,2.29,1.58,8432216062,9788432216060,spa,239,4136,255,6/1/2002,Booket,8-10
152,2.27,2.69,345413997,9780345413994,eng,304,17232,649,6/17/1997,Del Rey,8-10
153,1.83,1.19,441788386,9780441788385,eng,528,251872,6241,10/1/1991,Ace,8-10
154,2.44,1.29,441748600,9780441748600,en-US,434,10293,193,6/1/1988,Ace Books,8-10
155,1.04,2.78,345316509,9780345316509,en-US,439,15970,438,10/12/1985,Del Rey,8-10
156,3.23,2.03,765314932,9780765314932,eng,256,6898,200,8/8/2006,Tor Books,8-10
157,0.9,3.22,671742515,9780671742515,en-US,307,67803,1401,2/15/1991,Pocket Books,8-10
158,0.56,2.74,345455290,9780345455291,eng,298,22091,746,4/26/2005,Del Rey,8-10
159,2.71,0.87,345476514,9780345476517,eng,368,2623,49,12/27/2005,Del Rey,8-10
160,3,2.23,345368436,9780345368430,eng,256,885,84,10/27/1998,Ballantine Books,8-10
161,1.44,2.09,1417622857,9781417622856,eng,336,5,0,7/1/2003,Turtleback Books,8-10
162,2.17,3.24,573650969,9780573650963,eng,72,100,13,1/12/2011,Samuel French  Inc.,8-10
163,0.92,1.62,691122946,9780691122946,eng,67,9358,995,1/30/2005,Princeton University Press,8-10
164,1.37,3.76,393329402,9780393329407,eng,347,9318,907,9/12/2005,W. W. Norton & Company,8-10
165,2.05,2.55,671867423,9780671867423,en-US,317,120,15,6/12/1993,Simon & Schuster,8-10
166,1.86,2.06,395883970,9780395883976,eng,32,5239,76,2/2/1998,HMH Books for Young Readers,8-10
167,3.28,3.83,684848155,9780684848150,eng,827,1505,175,7/9/1998,Scribner,8-10
168,1.78,2.15,140156046,9780140156041,eng,480,11857,564,5/1/1991,Penguin,8-10
169,0.97,1.47,140119485,9780140119480,eng,377,393,55,7/6/1989,Penguin Books,8-10
170,1.02,2.79,679722947,9780679722946,eng,256,1356,72,7/17/1989,Vintage Contemporaries,8-10
171,2.23,2.26,743244257,9780743244251,eng,224,460,41,4/6/2004,Scribner,8-10
172,3.78,2.91,140179178,9780140179170,eng,272,2492,145,1/1/1994,Penguin Books,8-10
173,2.24,2.4,679722955,9780679722953,eng,339,3100,212,7/17/1989,Vintage,8-10
174,2.38,2.83,159420120X,9781594201202,eng,1085,5296,587,11/21/2006,Penguin Press,8-10
175,1,2.29,60930217,9780060930219,eng,547,1415,177,7/5/2005,Harper Perennial Modern Classics,8-10
176,1.6,2.52,60931671,9780060931674,eng,152,2161,230,4/1/1999,Harper Perennial,8-10
177,2.72,1.91,140283382,9780140283389,eng,784,762,213,1/1/2000,Penguin Books,8-10
178,3.57,1.74,312423209,9780312423209,eng,773,8086,602,1/3/2004,Picador USA,8-10
179,2.62,2.22,141180633,9780141180632,en-US,385,702,69,9/1/1997,Penguin Classics,8-10
180,0.81,2.99,143039946,9780143039945,eng,776,29764,2164,10/31/2006,Penguin Books,8-10
181,2.21,3.02,316724432,9780316724432,eng,193,334,34,4/30/1985,Back Bay Books,8-10
182,1.25,2.35,140189300,9780140189308,eng,352,2473,220,8/29/1996,Penguin Classics,8-10
183,1.7,,140004314X,9781400043149,en-US,227,2656,336,10/4/2005,Knopf Publishing Group,8-10
184,1.98,1.63,374522219,9780374522216,eng,222,11889,738,10/1/1990,Farrar Straus Giroux,8-10
185,2.33,2.7,679754865,9780679754862,eng,272,2962,255,4/11/1995,Vintage International,8-10
186,3.03,0.85,679752862,9780679752868,eng,240,2842,292,9/14/2004,Vintage,8-10
187,1.36,3.26,374521727,9780374521721,eng,238,26934,1825,10/1/1990,Farrar Straus Giroux,8-10
188,1.6,3.46,679754857,9780679754855,en-US,234,2070,169,4/25/1995,Vintage International,8-10
189,1.43,3.2,307264874,9780307264879,eng,1122,1564,108,10/17/2006,Everyman's Library,8-10
190,1.94,1.99,374529949,9780374529949,eng,231,23656,1706,11/15/2005,Farrar  Straus and Giroux,8-10
191,0.17,0.06,143039830,9780143039839,eng,308,43200,1873,3/28/2006,Penguin Classics,8-10
192,1.92,1.47,140097317,9780140097313,eng,203,12410,734,4/7/1987,Penguin Books,8-10
193,0.95,1.04,014009735X,9780140097351,eng,96,3672,195,7/7/1987,Penguin Books,8-10
194,2.04,1.94,940650762,9780940650763,eng,179,2998,164,11/1/1986,Sun and Moon Press,8-10
195,2.09,1.33,963188925,9780963188922,eng,256,74,2,1/1/1995,Sky Books (NY),8-10
196,1.84,1.81,312426232,9780312426231,eng,306,17977,1157,10/17/2006,Picador,8-10
197,1.4,2.27,140115854,9780140115857,eng,320,16099,503,4/1/1990,Penguin Books,8-10
198,1.92,2.61,140154078,9780140154078,en-US,217,361,36,12/1/1991,Penguin Books,8-10
199,1.86,2.37,805081453,9780805081459,eng,145,6688,562,1/23/2007,Henry Holt & Company,8-10
200,2.09,2.1,140178139,9780140178135,eng,275,11744,443,9/1/1993,Penguin Books,8-10
201,3.05,2.33,811214982,9780811214988,eng,104,2390,120,6/17/2002,New Directions,8-10
202,1.54,2.37,2742741461,9782742741465,fre,1075,21,1,11/7/2002,Actes Sud,8-10
203,2.05,2.38,143036556,9780143036555,eng,608,52522,2780,12/27/2005,Penguin Books Ltd. (London),8-10
204,1.73,1.98,446579785,9780446579780,en-US,211,213,26,2/1/2006,Business Plus,8-10
205,1.51,0.9,052138673X,9780521386739,eng,262,719,86,3/29/1990,Cambridge University Press,8-10
206,1.09,1.67,743203046,9780743203043,eng,544,4762,512,8/7/2001,Simon  Schuster,8-10
207,1.94,0.92,034543871X,9780345438713,eng,272,62,4,1/29/2002,Ballantine Books,8-10
208,2.47,2.55,393318281,9780393318289,eng,576,278,20,9/17/1998,W. W. Norton  Company,8-10
209,1.94,3.61,1599869942,9781599869940,eng,88,2862,262,5/17/2006,Filiquarian Publishing  LLC.,8-10
210,1.88,1.12,806519606,9780806519609,eng,542,2829,334,2/1/2001,Citadel,8-10
211,1.53,3.73,822549204,9780822549208,eng,144,105,5,10/1/1994,Lerner Publications,8-10
212,2.83,2.6,932813860,9780932813862,eng,100,102,2,12/1/2000,Adventures Unlimited Press,8-10
213,2.53,2.45,373792689,9780373792689,eng,249,478,12,6/27/2006,Harlequin Blaze,8-10
214,0.64,2.44,974514055,9780974514055,en-US,828,1577,49,10/11/2004,Pragmatic Bookshelf,8-10
215,2.17,1.49,764585975,9780764585975,eng,112,73,8,6/13/2000,Cliffs Notes,8-10
216,3.47,2.51,307281701,9780307281708,eng,6,408,96,10/11/2005,Listening Library (Audio),8-10
217,0.68,1.87,812969707,9780812969702,eng,397,1693,100,9/12/2006,Random House,8-10
218,0.83,0.95,60255080,9780060255084,eng,216,1,0,1/1/1989,HarperCollins Publishers,8-10
219,1.94,2.53,330485385,9780330485388,en-GB,328,6485,966,6/1/2003,Picador,8-10
220,1.25,2.7,159413023X,9781594130236,en-US,532,367,73,4/1/2004,Large Print Press,8-10
221,1.92,1.43,345360354,9780345360359,eng,224,1371,43,5/13/1990,Ballantine Books,8-10
222,1.27,2.68,321303474,785342303476,en-US,296,793,28,2/17/2005,Peachpit Press,8-10
223,0.41,1.62,321430840,9780321430847,en-US,456,549,42,8/1/2006,Peachpit Press,8-10
224,2.39,2.85,3822840858,9783822840856,mul,575,288,31,5/15/2005,Taschen,8-10
225,1.59,2.14,743264460,9780743264464,eng,245,26381,1109,6/13/2006,Scribner,8-10
226,2.43,0.59,743236017,9780743236010,eng,272,62089,3324,7/2/2004,Scribner,8-10
227,1.74,1.62,553572490,9780553572490,eng,419,474,19,5/2/1996,Bantam,8-10
228,1.14,1.14,60589469,9780060589462,eng,540,166046,6446,4/25/2006,HarperTorch,8-10
229,1.42,1.31,802789471,9780802789471,eng,32,1773,274,4/1/2005,Walker & Company,8-10
230,1.5,-0.26,688060692,9780688060695,en-GB,408,286,10,11/19/1990,William Morrow Paperbacks,8-10
231,2.34,2.55,185960515X,9781859605158,eng,222,40,2,7/5/2002,Haynes Manuals N. America  Inc.,8-10
232,2.14,2.43,1592530877,9781592530878,eng,191,27,0,9/1/2004,Rockport Publishers,8-10
233,2.71,3.15,451528808,9780451528803,eng,304,7300,266,4/1/2003,Signet Classics,8-10
234,1.7,2.43,192833987,9780192833983,eng,1392,211671,6245,6/25/1998,Oxford University Press,8-10
235,1.93,2.21,486451380,9780486451381,eng,352,2403,210,9/8/2006,Dover Publications,8-10
236,2.96,3.14,452011876,9780452011878,eng,1168,322483,14702,8/1/1999,Plume,8-10
237,2.9,2.8,451163087,9780451163080,eng,224,2750,108,12/1/1963,Signet Book,8-10
238,2.66,1.47,452286751,9780452286757,en-US,752,1886,229,4/26/2005,Dutton,8-10
239,2.26,1.53,451163931,9780451163936,eng,176,11462,467,11/1/1964,Signet,8-10
240,1.57,2.92,452281253,9780452281257,eng,105,110952,7277,12/1/1999,NAL,8-10
241,2.48,2.33,451187849,9780451187840,eng,464,23199,1086,1/1/1996,Signet,8-10
242,3.04,2.16,451147952,9780451147950,eng,340,3501,153,7/15/1986,Signet,8-10
243,2.74,1.66,452274044,9780452274044,eng,681,18,2,2/1/1997,NAL,8-10
244,3.27,3.39,471791431,9780471791430,eng,416,150,7,6/1/2006,For Dummies,8-10
245,1.04,3.45,553803816,9780553803815,eng,368,646,83,7/25/2006,Delacorte Press,8-10
246,2.87,0.61,375755195,9780375755194,eng,192,12180,630,9/17/2002,Random House Trade Paperbacks,8-10
247,2.64,2.05,1592283195,9781592283194,eng,286,51,5,4/1/2004,Lyons Press,8-10
248,1.98,1.51,975599518,9780975599518,en-US,571,1601,284,1/1/2004,Alliance Publishing,8-10
249,3.54,1.57,374502005,9780374502003,eng,231,8854,672,7/7/2003,Farrar Straus Giroux,8-10
250,1.83,1.03,307263940,9780307263940,eng,277,17155,1841,5/2/2006,Alfred A. Knopf,8-10
251,2.54,2.14,312405545,9780312405540,eng,826,44,3,1/21/2004,Bedford Books,10-13
252,2.03,2.08,019517013X,9780195170139,en-US,528,234,11,10/7/2004,Oxford University Press  USA,10-13
253,2.7,3.73,1400079497,9781400079490,eng,391,33321,2925,9/27/2005,Vintage International,10-13
254,1.54,3.4,688171621,9780688171629,en-GB,164,8703,417,9/22/1999,Dey Street Books,10-13
255,1.79,1.78,60932686,9780060932688,eng,352,6375,179,5/13/2008,Harper Perennial Modern Classics,10-13
256,0.98,2.72,1400034957,9781400034956,spa,118,7888,411,10/14/2003,Vintage Espanol,10-13
257,0.75,2.36,307350428,9780307350428,spa,496,130,5,2/7/2006,Plaza y Janes,10-13
258,2.21,2.95,307350444,9780307350442,spa,176,4508,278,2/7/2006,Plaza y Janes,10-13
259,4.13,2.06,140003454X,9781400034543,eng,533,397,47,10/12/2004,Vintage,10-13
260,2.07,2.23,1400095808,9781400095803,spa,112,5856,377,10/19/2004,Vintage Espanol,10-13
261,1.66,1.93,375708111,9780375708114,eng,425,32569,1058,9/2/2004,Vintage Books USA,10-13
262,2.06,2.05,086171492X,9780861714926,eng,288,37,6,5/15/2005,Wisdom Publications,10-13
263,0.94,3.43,184353584X,9781843535843,eng,363,1,0,4/1/2006,Rough Guides,10-13
264,3.04,1.21,1740594770,9781740594776,eng,128,11,0,9/1/2004,Lonely Planet,10-13
265,1.05,1.47,8408064762,9788408064763,spa,480,0,0,5/1/2006,Geoplaneta,10-13
266,2.37,2.39,1740592050,9781740592055,eng,295,0,0,9/1/2001,Lonely Planet,10-13
267,4.3,1.67,618710531,9780618710539,eng,287,6870,237,4/4/2006,Mariner Books,10-13
268,2.52,3.16,60512806,9780060512804,eng,1139,83184,4249,11/1/2002,Avon,10-13
269,2.17,3.28,2228894168,9782228894166,fre,418,5,0,3/31/2001,Payot,10-13
270,1.91,2.69,60733357,9780060733353,en-US,815,19320,565,6/14/2005,William Morrow Paperbacks,10-13
271,3.08,2.93,60593083,9780060593087,eng,927,30872,1735,9/21/2004,HarperCollins Perennial,10-13
272,1.47,1.32,553383442,9780553383447,eng,448,2465,137,5/31/2005,Spectra Books,10-13
273,2.45,2.61,380816032,9780380816033,en-US,308,4657,223,2/6/2001,William Morrow Paperbacks,10-13
274,1.77,1.72,553380966,9780553380965,eng,499,71042,2767,5/2/2000,Spectra,10-13
275,1.61,2.33,553383434,9780553383430,eng,640,4731,270,5/31/2005,Spectra,10-13
276,2.31,4.3,60833181,9780060833183,en-US,464,1567,65,3/28/2006,HarperTorch,10-13
277,2.82,1.53,553380958,9780553380958,eng,438,188100,6612,8/2/2000,Bantam Books,10-13
278,2.37,1.63,1880685353,9781880685358,eng,450,1474,30,6/1/2005,Two Plus Two Publishing LLC,10-13
279,1.27,0.36,1880685337,9781880685334,eng,381,1929,72,12/1/2004,Two Plus Two Publishing LLC,10-13
280,2.66,2.24,465067107,9780465067107,eng,240,18602,1379,9/19/2002,Basic Books,10-13
281,1.34,2.13,465051367,9780465051366,eng,272,3702,149,5/11/2005,Basic Books,10-13
